29993	2000	30000	0	1321
29942	2000	30000	20	1301
29963	2000	30000	40	1288
29838	2000	30000	60	1271
29675	2000	30000	80	1349
29797	2000	30000	100	1407
29826	2000	30000	120	1399
29762	2000	30000	140	1499
29838	2000	30000	160	1420
29724	2000	30000	180	1537
29632	2000	30000	200	1547
29425	2000	30000	220	1500
29282	2000	30000	240	1641
29212	2000	30000	260	1588
29264	2000	30000	280	1763
29324	2000	30000	300	1691
29080	2000	30000	320	1778
29133	2000	30000	340	1848
29031	2000	30000	360	1788
30944	2000	31000	0	1218
31112	2000	31000	20	1385
30816	2000	31000	40	1453
30866	2000	31000	60	1276
30924	2000	31000	80	1422
30851	2000	31000	100	1280
30680	2000	31000	120	1431
30652	2000	31000	140	1445
30752	2000	31000	160	1595
30604	2000	31000	180	1457
30566	2000	31000	200	1639
30550	2000	31000	220	1668
30345	2000	31000	240	1643
30226	2000	31000	260	1716
30247	2000	31000	280	1794
30221	2000	31000	300	1570
30380	2000	31000	320	1860
30100	2000	31000	340	1862
30115	2000	31000	360	1908
31865	2000	32000	0	1342
31914	2000	32000	20	1337
31757	2000	32000	40	1356
31850	2000	32000	60	1484
31783	2000	32000	80	1421
31840	2000	32000	100	1431
31731	2000	32000	120	1480
31616	2000	32000	140	1573
31715	2000	32000	160	1571
31643	2000	32000	180	1535
31442	2000	32000	200	1584
31575	2000	32000	220	1747
31346	2000	32000	240	1759
31304	2000	32000	260	1663
31346	2000	32000	280	1793
31134	2000	32000	300	1932
30921	2000	32000	320	2005
31081	2000	32000	340	1917
30930	2000	32000	360	1891
33057	2000	33000	0	1304
32869	2000	33000	20	1368
32842	2000	33000	40	1426
32848	2000	33000	60	1379
32844	2000	33000	80	1480
32697	2000	33000	100	1502
32833	2000	33000	120	1474
32586	2000	33000	140	1573
32657	2000	33000	160	1613
32700	2000	33000	180	1501
32456	2000	33000	200	1618
32422	2000	33000	220	1518
32310	2000	33000	240	1809
32314	2000	33000	260	1924
32229	2000	33000	280	1896
32199	2000	33000	300	1749
32112	2000	33000	320	2108
31960	2000	33000	340	1744
31792	2000	33000	360	1847
33919	2000	34000	0	1342
33792	2000	34000	20	1535
33819	2000	34000	40	1517
34069	2000	34000	60	1468
33803	2000	34000	80	1528
33776	2000	34000	100	1600
33569	2000	34000	120	1637
33486	2000	34000	140	1552
33344	2000	34000	160	1531
33496	2000	34000	180	1571
33503	2000	34000	200	1751
33259	2000	34000	220	1899
33431	2000	34000	240	1839
33108	2000	34000	260	2044
33092	2000	34000	280	1966
32898	2000	34000	300	1860
33144	2000	34000	320	2013
32775	2000	34000	340	2001
32704	2000	34000	360	2158
35041	2000	35000	0	1392
34788	2000	35000	20	1496
34971	2000	35000	40	1660
34839	2000	35000	60	1534
34960	2000	35000	80	1607
34805	2000	35000	100	1603
34740	2000	35000	120	1802
34629	2000	35000	140	1674
34641	2000	35000	160	1548
34541	2000	35000	180	1603
34183	2000	35000	200	1781
34136	2000	35000	220	1880
34331	2000	35000	240	1717
34365	2000	35000	260	1846
34262	2000	35000	280	2009
34142	2000	35000	300	2073
34011	2000	35000	320	1892
33962	2000	35000	340	2030
33762	2000	35000	360	2087
36068	2000	36000	0	1474
35968	2000	36000	20	1539
35990	2000	36000	40	1505
35779	2000	36000	60	1682
35541	2000	36000	80	1597
35656	2000	36000	100	1462
35632	2000	36000	120	1609
35783	2000	36000	140	1669
35668	2000	36000	160	1689
35445	2000	36000	180	1816
35503	2000	36000	200	1909
35431	2000	36000	220	1693
35366	2000	36000	240	1957
34874	2000	36000	260	1805
35396	2000	36000	280	2204
34829	2000	36000	300	2140
34811	2000	36000	320	2199
